doc_id,item,category,amount,price,discount
85ecce621f4e,Кружка,Посуда,3,1544,0.0
85ecce621f4e,Постельное белье,Текстиль,5,32559,0.0
85ecce621f4e,Сковорода,Посуда,3,16828,0.0
85ecce621f4e,Набор тарелок,Посуда,4,7584,4373.02
52637ae4e905,Плед,Текстиль,5,13938,0.0
52637ae4e905,Контейнер для еды,Кухонная утварь,2,2388,0.0
52637ae4e905,Контейнер для еды,Кухонная утварь,2,1251,0.0
52637ae4e905,Ariel,Бытовая химия,4,4736,0.0
52637ae4e905,Сковорода,Посуда,3,10159,0.0
52637ae4e905,Нож кухонный,Кухонная утварь,5,4949,0.0
52637ae4e905,Ведро,Хозтовары,3,5760,1299.81
32604be3b0c8,Полотенце,Текстиль,1,2992,0.0
b42ac587df89,Губка для посуды,Хозтовары,2,468,89.11
d2257dfcfd7e,Нож кухонный,Кухонная утварь,4,5800,2044.51
d2257dfcfd7e,Плед,Текстиль,3,8362,0.0
d2257dfcfd7e,Кружка,Посуда,3,1234,0.0
fbb282866c46,Domestos,Бытовая химия,2,1800,0.0
fbb282866c46,Губка для посуды,Хозтовары,2,552,0.0
a83563c8d557,Ведро,Хозтовары,4,3772,0.0
a83563c8d557,Разделочная доска,Кухонная утварь,1,2659,0.0
8097f41f059c,Разделочная доска,Кухонная утварь,4,3236,0.0
bbf21b347263,Сковорода,Посуда,1,15707,0.0
bbf21b347263,Сковорода,Посуда,1,6817,0.0
bbf21b347263,Мусорные пакеты,Хозтовары,3,883,0.0
e2bf012e1ef9,Контейнер для еды,Кухонная утварь,3,1435,0.0
e2bf012e1ef9,Постельное белье,Текстиль,5,21786,0.0
e2bf012e1ef9,Кастрюля,Посуда,3,14708,6896.93
909abd956504,Разделочная доска,Кухонная утварь,5,3453,3280.1
909abd956504,Набор тарелок,Посуда,1,6945,485.35
909abd956504,Кастрюля,Посуда,5,18553,6960.24
e127c6058e46,Постельное белье,Текстиль,1,29336,0.0
1b865b5d86a6,Lenor,Бытовая химия,1,3472,0.0
1b865b5d86a6,Полотенце,Текстиль,2,4224,0.0
1b865b5d86a6,Разделочная доска,Кухонная утварь,1,3212,0.0
1b865b5d86a6,Domestos,Бытовая химия,3,1889,0.0
1b865b5d86a6,Кастрюля,Посуда,3,21810,0.0
b06d7f108640,Кружка,Посуда,4,1688,573.49
b06d7f108640,Сковорода,Посуда,2,15391,0.0
b06d7f108640,Швабра,Хозтовары,1,11043,1569.38
ef6bf577c703,Полотенце,Текстиль,4,3894,1742.81
23440f8dba3b,Разделочная доска,Кухонная утварь,3,2599,0.0
23440f8dba3b,Ariel,Бытовая химия,1,5324,0.0
23440f8dba3b,Кастрюля,Посуда,4,19125,0.0
23440f8dba3b,Швабра,Хозтовары,5,8028,0.0
23440f8dba3b,Lenor,Бытовая химия,3,2594,1221.66
23440f8dba3b,Сковорода,Посуда,4,10671,8485.69
55baa2d8d129,Domestos,Бытовая химия,1,1944,0.0
55baa2d8d129,Разделочная доска,Кухонная утварь,3,2621,1563.44
55baa2d8d129,Разделочная доска,Кухонная утварь,1,3984,557.61
55baa2d8d129,Разделочная доска,Кухонная утварь,4,3625,2841.9
84b06b136ffc,Шторы,Текстиль,1,15726,0.0
84b06b136ffc,Мусорные пакеты,Хозтовары,1,912,0.0
1535d623fcf9,Lenor,Бытовая химия,2,2201,0.0
1535d623fcf9,Сковорода,Посуда,5,8777,0.0
1535d623fcf9,Набор тарелок,Посуда,1,6795,0.0
1535d623fcf9,Сковорода,Посуда,4,10312,0.0
e10f9704554f,Mr Proper,Бытовая химия,4,1615,0.0
e10f9704554f,Mr Proper,Бытовая химия,2,1715,218.94
94b018dc9f64,Постельное белье,Текстиль,5,23925,0.0
94b018dc9f64,Кастрюля,Посуда,5,14377,9888.91
94b018dc9f64,Контейнер для еды,Кухонная утварь,5,1293,1015.95
94b018dc9f64,Швабра,Хозтовары,5,11359,0.0
94b018dc9f64,Контейнер для еды,Кухонная утварь,1,2076,0.0
49db70fd15c3,Нож кухонный,Кухонная утварь,3,8219,0.0
49db70fd15c3,Контейнер для еды,Кухонная утварь,2,1727,0.0
49db70fd15c3,Постельное белье,Текстиль,4,27049,0.0
49db70fd15c3,Fairy,Бытовая химия,3,1110,0.0
86e10c436d99,Полотенце,Текстиль,1,4411,288.65
86e10c436d99,Нож кухонный,Кухонная утварь,5,10954,0.0
86e10c436d99,Кружка,Посуда,2,3212,0.0
86e10c436d99,Контейнер для еды,Кухонная утварь,5,2041,0.0
29c93cd8caac,Разделочная доска,Кухонная утварь,5,4299,0.0
29c93cd8caac,Lenor,Бытовая химия,2,2452,425.24
29c93cd8caac,Ariel,Бытовая химия,2,6384,0.0
29c93cd8caac,Постельное белье,Текстиль,2,18438,5977.9
29c93cd8caac,Нож кухонный,Кухонная утварь,4,7920,0.0
29c93cd8caac,Швабра,Хозтовары,1,6100,0.0
29c93cd8caac,Domestos,Бытовая химия,5,1624,882.63
38d780e927fc,Ведро,Хозтовары,4,2354,0.0
ed8f87cc593b,Набор тарелок,Посуда,2,5616,0.0
5839c38053e3,Контейнер для еды,Кухонная утварь,4,1659,0.0
5839c38053e3,Мусорные пакеты,Хозтовары,4,1592,654.45
b28a48789a4d,Fairy,Бытовая химия,5,836,401.21
