doc_id,item,category,amount,price,discount
149828e109ba,Мусорные пакеты,Хозтовары,4,1053,0.0
149828e109ba,Lenor,Бытовая химия,2,3650,0.0
149828e109ba,Полотенце,Текстиль,2,3801,0.0
149828e109ba,Разделочная доска,Кухонная утварь,5,2729,1538.55
149828e109ba,Ведро,Хозтовары,4,2432,0.0
149828e109ba,Набор тарелок,Посуда,1,10688,873.79
149828e109ba,Domestos,Бытовая химия,3,1795,487.7
4fde2eec43bc,Fairy,Бытовая химия,3,740,0.0
4fde2eec43bc,Мусорные пакеты,Хозтовары,5,1752,1322.42
4fde2eec43bc,Плед,Текстиль,5,15443,0.0
4fde2eec43bc,Нож кухонный,Кухонная утварь,1,4841,910.48
4fde2eec43bc,Сковорода,Посуда,2,15470,0.0
436f55b0c8f5,Кружка,Посуда,4,2219,1420.27
436f55b0c8f5,Mr Proper,Бытовая химия,3,2313,0.0
436f55b0c8f5,Швабра,Хозтовары,3,4770,0.0
81192f189f7c,Кружка,Посуда,4,1468,576.31
6151b4f5ba66,Разделочная доска,Кухонная утварь,2,1818,267.83
6151b4f5ba66,Швабра,Хозтовары,5,7246,0.0
59ba9beda404,Mr Proper,Бытовая химия,3,1173,0.0
59ba9beda404,Lenor,Бытовая химия,1,3691,0.0
59ba9beda404,Мусорные пакеты,Хозтовары,2,1388,356.11
59ba9beda404,Набор тарелок,Посуда,1,5713,442.07
59ba9beda404,Контейнер для еды,Кухонная утварь,1,2233,0.0
59ba9beda404,Швабра,Хозтовары,4,5377,0.0
baf3021658ef,Полотенце,Текстиль,3,3708,0.0
baf3021658ef,Губка для посуды,Хозтовары,4,431,175.77
baf3021658ef,Набор тарелок,Посуда,1,8470,0.0
baf3021658ef,Сковорода,Посуда,3,10090,0.0
baf3021658ef,Контейнер для еды,Кухонная утварь,2,2576,643.47
baf3021658ef,Fairy,Бытовая химия,5,1059,0.0
10385f536881,Кружка,Посуда,2,3365,0.0
10385f536881,Губка для посуды,Хозтовары,5,530,0.0
b5eeef25592c,Плед,Текстиль,3,14234,0.0
b5eeef25592c,Постельное белье,Текстиль,2,25098,8856.9
b5eeef25592c,Кастрюля,Посуда,4,20008,0.0
b5eeef25592c,Шторы,Текстиль,3,41961,17430.45
b5eeef25592c,Mr Proper,Бытовая химия,4,1981,491.74
b5eeef25592c,Плед,Текстиль,1,11450,0.0
3fa1e7a26bcc,Кружка,Посуда,1,3260,623.95
3fa1e7a26bcc,Нож кухонный,Кухонная утварь,3,3888,2145.41
3fa1e7a26bcc,Mr Proper,Бытовая химия,1,1947,0.0
3fa1e7a26bcc,Постельное белье,Текстиль,3,26577,0.0
3fa1e7a26bcc,Ведро,Хозтовары,2,6454,0.0
6a4220a76226,Сковорода,Посуда,3,9918,0.0
6a4220a76226,Нож кухонный,Кухонная утварь,3,9803,0.0
6a4220a76226,Разделочная доска,Кухонная утварь,2,2178,0.0
6a4220a76226,Швабра,Хозтовары,2,9304,0.0
fa41a2d7c585,Мусорные пакеты,Хозтовары,4,1152,485.92
fa41a2d7c585,Мусорные пакеты,Хозтовары,4,1691,1037.8
fa41a2d7c585,Швабра,Хозтовары,1,10358,560.03
fa41a2d7c585,Domestos,Бытовая химия,2,1368,455.98
b081d5951481,Шторы,Текстиль,1,46615,0.0
b081d5951481,Швабра,Хозтовары,5,9910,8580.58
b081d5951481,Сковорода,Посуда,1,12112,0.0
b081d5951481,Сковорода,Посуда,2,14124,5215.77
3d72ffa05bf5,Плед,Текстиль,5,12324,5291.74
3d72ffa05bf5,Кастрюля,Посуда,2,18330,0.0
3d72ffa05bf5,Набор тарелок,Посуда,4,5621,0.0
4c7126a83626,Нож кухонный,Кухонная утварь,2,5082,884.57
39d7b9622ed1,Mr Proper,Бытовая химия,1,2083,256.26
39d7b9622ed1,Кастрюля,Посуда,1,19044,0.0
172a8f71aded,Мусорные пакеты,Хозтовары,4,948,0.0
172a8f71aded,Ведро,Хозтовары,5,2932,2287.47
172a8f71aded,Кружка,Посуда,1,2653,0.0
9e994d5f3da1,Мусорные пакеты,Хозтовары,4,1712,0.0
9e994d5f3da1,Постельное белье,Текстиль,4,26237,0.0
9e994d5f3da1,Нож кухонный,Кухонная утварь,5,9572,6488.39
9e994d5f3da1,Нож кухонный,Кухонная утварь,4,9791,0.0
9e994d5f3da1,Кружка,Посуда,2,3291,0.0
ee4efc989d32,Сковорода,Посуда,5,8143,0.0
ee4efc989d32,Ariel,Бытовая химия,5,4184,0.0
ee4efc989d32,Domestos,Бытовая химия,5,1661,0.0
ee4efc989d32,Швабра,Хозтовары,2,5602,1198.5
ee4efc989d32,Губка для посуды,Хозтовары,3,539,0.0
ee4efc989d32,Нож кухонный,Кухонная утварь,4,9909,0.0
b5cafb30884b,Сковорода,Посуда,3,9380,3729.55
b5cafb30884b,Lenor,Бытовая химия,5,3948,0.0
b5cafb30884b,Ведро,Хозтовары,2,5694,0.0
b5cafb30884b,Fairy,Бытовая химия,2,922,0.0
b5cafb30884b,Набор тарелок,Посуда,4,12955,0.0
aeea8bb738a1,Контейнер для еды,Кухонная утварь,2,915,0.0
3ab7c6325adf,Кружка,Посуда,2,3618,0.0
3ab7c6325adf,Мусорные пакеты,Хозтовары,5,1881,1055.15
44c80f96e293,Постельное белье,Текстиль,5,27452,0.0
44c80f96e293,Разделочная доска,Кухонная утварь,2,2688,0.0
44c80f96e293,Разделочная доска,Кухонная утварь,5,4491,1200.58
44c80f96e293,Fairy,Бытовая химия,2,1130,362.8
44c80f96e293,Ведро,Хозтовары,1,3459,0.0
44c80f96e293,Domestos,Бытовая химия,2,2128,0.0
d09e333464e0,Губка для посуды,Хозтовары,4,771,0.0
d09e333464e0,Нож кухонный,Кухонная утварь,2,6914,0.0
d09e333464e0,Шторы,Текстиль,5,41825,35802.46
d09e333464e0,Сковорода,Посуда,4,7040,0.0
d09e333464e0,Губка для посуды,Хозтовары,5,769,0.0
d09e333464e0,Domestos,Бытовая химия,4,1409,0.0
69983a26bae8,Разделочная доска,Кухонная утварь,2,1511,0.0
69983a26bae8,Нож кухонный,Кухонная утварь,5,5306,0.0
69983a26bae8,Разделочная доска,Кухонная утварь,5,1591,622.04
69983a26bae8,Сковорода,Посуда,3,17579,0.0
