doc_id,item,category,amount,price,discount
ec594d4486e3,Mr Proper,Бытовая химия,2,1229,0.0
ec594d4486e3,Mr Proper,Бытовая химия,1,1295,178.68
ec594d4486e3,Полотенце,Текстиль,4,3539,0.0
ec594d4486e3,Fairy,Бытовая химия,2,1066,349.68
ec594d4486e3,Кастрюля,Посуда,5,22681,0.0
ec594d4486e3,Кружка,Посуда,3,2120,0.0
fa7523f9ae77,Lenor,Бытовая химия,1,1835,0.0
fa7523f9ae77,Lenor,Бытовая химия,5,3955,1730.44
fa7523f9ae77,Mr Proper,Бытовая химия,1,1550,184.43
fa7523f9ae77,Разделочная доска,Кухонная утварь,2,4250,956.46
fa7523f9ae77,Шторы,Текстиль,2,39776,4686.55
fa7523f9ae77,Fairy,Бытовая химия,4,1065,0.0
ee21f9080d64,Шторы,Текстиль,2,42939,0.0
f2802e4559fd,Ведро,Хозтовары,5,6548,0.0
3c4a5265df26,Lenor,Бытовая химия,4,2216,0.0
3c4a5265df26,Ведро,Хозтовары,3,3008,624.12
70d6104691e7,Кружка,Посуда,3,3203,0.0
c50300572353,Мусорные пакеты,Хозтовары,3,1973,0.0
82f31701193a,Шторы,Текстиль,2,42035,0.0
82f31701193a,Lenor,Бытовая химия,2,2159,766.11
82f31701193a,Швабра,Хозтовары,5,8605,0.0
82f31701193a,Mr Proper,Бытовая химия,1,2109,292.44
82f31701193a,Кружка,Посуда,2,3404,387.13
fe258843baad,Набор тарелок,Посуда,3,13665,0.0
fe258843baad,Мусорные пакеты,Хозтовары,3,664,111.72
fe258843baad,Сковорода,Посуда,1,6663,0.0
fe258843baad,Шторы,Текстиль,5,36798,0.0
4b49502029ec,Губка для посуды,Хозтовары,1,531,0.0
4b49502029ec,Постельное белье,Текстиль,3,31927,14538.23
4b49502029ec,Полотенце,Текстиль,3,3510,1067.68
7ca194235341,Кастрюля,Посуда,1,17761,0.0
7ca194235341,Lenor,Бытовая химия,2,2872,0.0
7ca194235341,Кастрюля,Посуда,5,16777,0.0
7ca194235341,Полотенце,Текстиль,2,2955,0.0
7ca194235341,Кружка,Посуда,3,3146,0.0
fdb69088977a,Кружка,Посуда,1,3343,0.0
fdb69088977a,Полотенце,Текстиль,1,5948,0.0
fdb69088977a,Fairy,Бытовая химия,4,959,0.0
fdb69088977a,Набор тарелок,Посуда,1,14754,0.0
fdb69088977a,Lenor,Бытовая химия,5,3559,0.0
fdb69088977a,Набор тарелок,Посуда,2,8130,0.0
e5d2b8cd1b50,Разделочная доска,Кухонная утварь,2,3509,533.26
e5d2b8cd1b50,Lenor,Бытовая химия,2,3545,0.0
e5d2b8cd1b50,Губка для посуды,Хозтовары,2,680,0.0
e5d2b8cd1b50,Domestos,Бытовая химия,1,2154,0.0
e5d2b8cd1b50,Постельное белье,Текстиль,4,23717,0.0
9521777b53ce,Губка для посуды,Хозтовары,5,743,0.0
9521777b53ce,Шторы,Текстиль,3,32093,0.0
9521777b53ce,Швабра,Хозтовары,1,8717,0.0
9521777b53ce,Lenor,Бытовая химия,2,3873,0.0
9521777b53ce,Ведро,Хозтовары,5,3498,2958.95
9521777b53ce,Мусорные пакеты,Хозтовары,2,668,146.05
9521777b53ce,Fairy,Бытовая химия,3,1094,564.27
cd563a9c4a79,Кастрюля,Посуда,3,17700,0.0
cd563a9c4a79,Кружка,Посуда,3,1526,316.74
cd563a9c4a79,Шторы,Текстиль,3,31910,0.0
cd563a9c4a79,Кастрюля,Посуда,4,24103,15887.28
cd563a9c4a79,Кастрюля,Посуда,2,22793,6232.17
cd563a9c4a79,Сковорода,Посуда,4,9366,0.0
cd563a9c4a79,Fairy,Бытовая химия,5,900,0.0
8b628f2b6c38,Ведро,Хозтовары,4,4438,0.0
6352cb43d35a,Lenor,Бытовая химия,4,3894,2926.51
6352cb43d35a,Lenor,Бытовая химия,1,2018,0.0
ff2025fff2b4,Ведро,Хозтовары,3,5836,3154.23
ff2025fff2b4,Мусорные пакеты,Хозтовары,3,1027,0.0
ff2025fff2b4,Mr Proper,Бытовая химия,3,2216,1235.14
4ccab5a81593,Контейнер для еды,Кухонная утварь,4,2350,818.59
4ccab5a81593,Постельное белье,Текстиль,2,19537,0.0
13e7163766f3,Контейнер для еды,Кухонная утварь,4,2782,1828.41
13e7163766f3,Полотенце,Текстиль,3,5249,0.0
13e7163766f3,Контейнер для еды,Кухонная утварь,3,1981,0.0
13e7163766f3,Ведро,Хозтовары,1,6607,0.0
5a594f2849f7,Mr Proper,Бытовая химия,2,1741,0.0
5a594f2849f7,Ведро,Хозтовары,5,5165,0.0
5a594f2849f7,Полотенце,Текстиль,2,5417,1968.71
5a594f2849f7,Нож кухонный,Кухонная утварь,2,6465,0.0
5a594f2849f7,Mr Proper,Бытовая химия,2,1169,0.0
2f56a758c98c,Ariel,Бытовая химия,1,6731,975.55
2f56a758c98c,Нож кухонный,Кухонная утварь,5,8723,8225.77
2f56a758c98c,Набор тарелок,Посуда,3,9869,5362.4
2f56a758c98c,Шторы,Текстиль,1,42435,4677.88
2f56a758c98c,Постельное белье,Текстиль,2,31100,0.0
2f56a758c98c,Мусорные пакеты,Хозтовары,2,1861,0.0
583660d258df,Ведро,Хозтовары,5,4027,2168.45
583660d258df,Mr Proper,Бытовая химия,2,2475,763.8
c88a55d361e3,Контейнер для еды,Кухонная утварь,3,1830,0.0
c88a55d361e3,Набор тарелок,Посуда,3,6950,0.0
c88a55d361e3,Губка для посуды,Хозтовары,4,848,0.0
